,full_name,team,position,height,weight,age,region,average_points,average_assists,average_rebounds,average_steals,average_blocks,awards
240,LeBron James,Lakers,Forward,205.74,250,40,USA,24.575757575757574,8.393939393939394,7.954545454545454,1.0,0.5909090909090909,All-Defensive Team; All-Defensive Team; All-Defensive Team; All-Defensive Team; All-Defensive Team; All-Defensive Team; All-NBA; All-NBA; All-NBA; All-NBA; All-NBA; All-NBA; All-NBA; All-NBA; All-NBA; All-NBA; All-NBA; All-NBA; All-NBA; All-NBA; All-NBA; All-NBA; All-NBA; All-NBA; All-NBA; All-NBA; All-Rookie Team; NBA All-Star; NBA All-Star; NBA All-Star; NBA All-Star; NBA All-Star; NBA All-Star; NBA All-Star; NBA All-Star; NBA All-Star; NBA All-Star; NBA All-Star; NBA All-Star; NBA All-Star; NBA All-Star; NBA All-Star; NBA All-Star; NBA All-Star; NBA All-Star; NBA All-Star; NBA All-Star; NBA All-Star Most Valuable Player; NBA All-Star Most Valuable Player; NBA All-Star Most Valuable Player; NBA Champion; NBA Champion; NBA Champion; NBA Champion; NBA Finals Most Valuable Player; NBA Finals Most Valuable Player; NBA Finals Most Valuable Player; NBA Finals Most Valuable Player; NBA In-Season Tournament All-Tournament; NBA In-Season Tournament Most Valuable Player; NBA Most Valuable Player; NBA Most Valuable Player; NBA Most Valuable Player; NBA Most Valuable Player; NBA Player of the Month; NBA Player of the Month; NBA Player of the Month; NBA Player of the Month; NBA Player of the Month; NBA Player of the Month; NBA Player of the Month; NBA Player of the Month; NBA Player of the Month; NBA Player of the Month; NBA Player of the Month; NBA Player of the Month; NBA Player of the Month; NBA Player of the Month; NBA Player of the Month; NBA Player of the Month; NBA Player of the Month; NBA Player of the Month; NBA Player of the Month; NBA Player of the Month; NBA Player of the Month; NBA Player of the Month; NBA Player of the Month; NBA Player of the Month; NBA Player of the Month; NBA Player of the Month; NBA Player of the Month; NBA Player of the Month; NBA Player of the Month; NBA Player of the Month; NBA Player of the Month; NBA Player of the Month; NBA Player of the Month; NBA Player of the Month; NBA Player of the Month; NBA Player of the Month; NBA Player of the Month; NBA Player of the Month; NBA Player of the Month; NBA Player of the Month; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Rookie of the Month; NBA Rookie of the Month; NBA Rookie of the Month; NBA Rookie of the Month; NBA Rookie of the Month; NBA Rookie of the Month; NBA Rookie of the Year; NBA Sporting News Most Valuable Player of the Year; NBA Sporting News Rookie of the Year; Olympic Bronze Medal; Olympic Gold Medal; Olympic Gold Medal; Olympic Gold Medal
241,Jaime Jaquez Jr.,Heat,Guard,198.12,225,24,USA,8.142857142857142,2.4126984126984126,4.285714285714286,0.9365079365079365,0.20634920634920634,All-Rookie Team; NBA Rookie of the Month; NBA Rookie of the Month
242,DaQuan Jeffries,Hornets,Guard-Forward,195.57999999999998,222,27,USA,6.714285714285714,1.119047619047619,2.7857142857142856,0.5714285714285714,0.5476190476190477,
243,Trey Jemison III,Lakers,Center,210.82,270,25,USA,2.375,0.625,2.75,0.4375,0.375,
244,Daniss Jenkins,Pistons,Guard,190.5,165,23,USA,0.8333333333333334,0.0,0.0,0.0,0.0,
245,Ty Jerome,Cavaliers,Guard-Forward,195.57999999999998,195,27,USA,12.17910447761194,3.343283582089552,2.4925373134328357,1.1492537313432836,0.029850746268656716,
246,Isaiah Joe,Thunder,Guard,190.5,165,25,USA,10.043478260869565,1.4927536231884058,2.5942028985507246,0.6231884057971014,0.13043478260869565,
247,AJ Johnson,Wizards,Guard,195.57999999999998,160,20,USA,2.857142857142857,1.0,1.0,0.14285714285714285,0.0,
248,Cameron Johnson,Nets,Forward,203.2,210,29,USA,18.771929824561404,3.4035087719298245,4.333333333333333,0.9298245614035088,0.43859649122807015,
249,Jalen Johnson,Hawks,Forward,203.2,219,23,USA,18.88888888888889,5.027777777777778,9.972222222222221,1.5555555555555556,1.0,
